state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,338333.0329836413,102515,13327.061831061234,0,3,1,6,0,0.0123522006653434,1,270909,334.2440733430459,0.3333333333333333,5,0,0,NA,1,212,5,13,60,0.007753090490638929,0.30300026898336196,B2
Ayeyarwady,MMR017,Hinthada,Zalun,MMR017009,168152.32215033146,50950,6624.480065287993,1,1,0,4,0,0.00495799760284937,0,168675,267.8101558840312,0.26666666666666666,4,7842,1,70578,0,268,6,91,103,0.003853289377145329,0.3029990864738086,B2
Ayeyarwady,MMR017,Hinthada,Lemyethna,MMR017010,102992.95991876331,31207,4057.107311638337,0,1,0,1,0,0.00174418682493287,0,118669,102.24544602489684,0.2,3,0,0,NA,1,291,7,172,146,0.002360149197106463,0.3030012927545225,B2
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,218515.143772356,66210,8606.688498081088,0,1,2,11,3,0.02362567018527656,2,247932,142.09033450575592,0.3333333333333333,5,0,0,NA,1,169,5,55,84,0.005007385469299161,0.3029995947053264,B2
Ayeyarwady,MMR017,Hinthada,Kyangin,MMR017012,96054.05117132452,29104,3784.430973441061,0,2,0,2,1,0.00503821746855175,0,98370,82.97201659317125,0.13333333333333333,2,6315,1,NA,1,265,8,191,152,0.0022011017474472556,0.3029960698699667,B2
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,214319.40828568256,64939,8441.9585078309,0,0,1,4,3,0.01251733952740184,1,236055,127.48400230202388,0.3333333333333333,5,0,0,NA,1,209,5,57,86,0.004911261214179402,0.3030010231898265,B2
Ayeyarwady,MMR017,Labutta,Labutta,MMR017016,315123.0280291265,95482,12413.303933374356,0,2,1,2,2,0.01169855596493115,2,410559,125.97449327238034,0.2,3,2538,2,1706,0,217,7,18,64,0.007221192861797651,0.30299911941432184,B2
Ayeyarwady,MMR017,Labutta,Mawlamyinegyun,MMR017018,311246.19643100415,94308,12260.01232259513,3,6,1,4,2,0.0203222470391686,3,383710,255.03406057718703,0.13333333333333333,2,2635,2,2797,0,189,8,21,67,0.007132404604118189,0.3030012931287526,B2
Ayeyarwady,MMR017,Maubin,Maubin,MMR017019,313998.3669801612,95142,12367.604337309436,1,14,2,23,8,0.05568260603482827,8,329697,223.16211072941744,0.26666666666666666,4,8543,1,76887,0,107,6,20,66,0.007195479056336818,0.30300157582033277,B2
Ayeyarwady,MMR017,Maubin,Pantanaw,MMR017020,264516.27992181526,80148,10418.703742303838,0,1,1,6,1,0.01167464846621606,0,206170,198.25380423070325,0.26666666666666666,4,8071,2,70481,0,218,6,31,76,0.006061500235514109,0.30299836374415157,B2
Ayeyarwady,MMR017,Maubin,Nyaungdon,MMR017021,215840.9497225939,65400,8502.024990500482,0,7,1,6,3,0.02098580789793685,1,187074,239.43105804301265,0.26666666666666666,4,0,0,NA,1,183,6,56,85,0.004946126109230707,0.3030008906282811,B2
Ayeyarwady,MMR017,Maubin,Danubyu,MMR017022,179298.96276896607,54328,7063.413880781774,0,3,1,2,1,0.01090937296083334,1,223534,238.0697198396546,0.26666666666666666,4,0,0,NA,1,227,6,80,99,0.004108763597282659,0.30300231055995464,B2
Ayeyarwady,MMR017,Myaungmya,Myaungmya,MMR017014,298547.0237154422,90460,11760.23274045477,0,5,3,11,2,0.03022896430263675,0,294485,259.5116188558383,0.13333333333333333,2,19656,2,412,0,154,8,24,70,0.006841384829373238,0.3030008434658563,B2
Ayeyarwady,MMR017,Myaungmya,Einme,MMR017015,194042.51934686952,58795,7642.66517759526,0,0,1,4,0,0.00763244994179816,0,281640,259.1224369589217,0.13333333333333333,2,12384,2,464,0,246,8,72,95,0.004446597623734242,0.3030006010945381,B2
Ayeyarwady,MMR017,Myaungmya,Wakema,MMR017017,289018.8953086076,87573,11383.545731921822,0,2,1,11,1,0.01664686494389064,1,408054,244.82345902063642,0.13333333333333333,2,290,1,412,0,197,8,27,71,0.006623044369474935,0.3030009505312502,B2
Ayeyarwady,MMR017,Pathein,Pathein,MMR017001,380870.2131022873,115404,15001.522321111168,6,15,15,50,14,0.15675511277162602,31,143137,246.16725832341155,0.26666666666666666,4,365,1,365,0,34,6,8,56,0.00872787060412325,0.30300085443806246,A2
